class,sms
ham,"Your PIN is 6732 Use this to log into . By entering this PIN, you agree to following service charges: Prepaid: PKR 3.68+T/Day Postpaid: PKR 29.88+T/Month. Never share your PIN with anyone. jkXAGuKYOwf"
ham,Your Pin is 6968 Use this PIN to download Tax-Certificate from your account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 7369 Use this to view history in SIMOSA. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 7678. Never share it with anyone. ac95UegMlsc
ham,Your PIN is 7733. Never share it with anyone. ac95UegMlsc
ham,Your PIN is 7964. Never share it with anyone. ac95UegMlsc
ham,Your PIN is 8552 Use this PIN to pay bill from your Jazzcash account. Never share your PIN with anyone. ac95UegMlsc
ham,Your Pin is 8614 Use this PIN to download Tax-Certificate from your account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 8787. Never share it with anyone. ac95UegMlsc
ham,Your PIN is 8788. Never share it with anyone. ac95UegMlsc
ham,Your PIN is 9355 Use this to view history in SIMOSA. Never share your PIN with anyone. ac95UegMlsc
ham,Your Uber code: 9387. Never share this code with anyone.  qlRnn4A1sbt
ham,Your WhatsApp code: 543-865  You can also tap on this link to verify your phone: v.whatsapp.com/543865  Don't share this code with others 4sgLq1p5sV6
ham,Your WhatsApp code: 785-642  You can also tap on this link to verify your phone: v.whatsapp.com/785642  Don't share this code with others 4sgLq1p5sV6
ham,"Dear Customer, please do not share your OTP with anyone, your OTP is :196848. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,"Dear Customer, please do not share your OTP with anyone, your OTP is :435537. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,"Dear Customer, please do not share your OTP with anyone, your OTP is :486371. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,"Dear Customer, please do not share your OTP with anyone, your OTP is :945978. For further assistance, please call CDNS HelpLine 051-111-267-268."
ham,The PIN Reset OTP of 03448029669 is 9251241AB21987BD967830A35EA28E38C5CC3540443B64B643A965EB77F4D33B  frq8nwMNn2c
ham,008528 is your priceoye.pk   verification code.  @priceoye.pk #008528
ham,023431 is your verification code for Hello Doctor.
ham,0645 is your OTP Code for MyTelenor App. Please call 345 if you have not requested this PIN. tn751ivp5/+
ham,100.00 Rs ka cash recharge load kerne ka shukria. 86.96 Rs aap k account mein daal diye gaye hein.Jis ki miyaad 11-01-2025 tak hai. 30 din k liye *572# se payen
ham,105.00 Rs ka cash recharge load kerne ka shukria. 91.31 Rs aap k account mein daal diye gaye hein.JIS ki miyaad 02-12-2025 tak hai. 30 din k liye *572# se payen
ham,113119 is your priceoye.pk   verification code.  @priceoye.pk #113119
ham,1435 is your OTP Code for MyTelenor App. Please call 345 if you have not requested this PIN. tn751ivp5/+
ham,"188413 is your verification code. For your security, do not share this code.  7DRUYDZQkd6"
ham,2388 is your OTP Code for MyTelenor App. Please call 345 if you have not requested this PIN. tn751ivp5/+
ham,260.00 Rs ka cash recharge load kerne ka shukria. 226.10 Rs aap k account mein daal diye gaye hein.Jis ki miyaad 13-10-2024 tak hai. 30 din k liye *572# se
ham,3737   Trx ID    2701362950. Rs. 5.200 sent by you have been CNIC 3310066297635
ham,"3737 Trx ,ID12087542391 You have successfully deposited Rs.9500 CNIC3106629462790"
ham,524065 is your verification code for Dawa Asaan.
ham,5787 is your verification code. Do not share it. Connect ID @connect.telenordigital.com #5787
ham,"A/c *7758 debited with PKR 1 in fee for IBFT amounting PKR 13,251.00 on 29/06/2024 at 09:19 to SYED SspamS UL ARFIN, BANK ALFALAH LIMITED. Info:111825888"
ham,"A/C 0002****7758 debited with Rs. 10,000 on 14-JUL-23 from ATM. Bal. Rs. 20,804.62. Click http://bit.ly/2t4fya8 for Digital App. For queries, call 111825888."
ham,Your OTP PIN is 9436
ham,Aap kay pass sirf 5MB 3G Internet baki hai. Bundle hasil karnay k liyah 345 per call karen
ham,"Aap ko milae hain 4GB (WA,IMO,Tamasha), 300 Jazz Min, 50 Other Net Min aur 1000 SMS 30 din k liay Rs.225 k balance mein. Status *614*2# or visit Jazz World App"
ham,"Alert! Your OTP is 242307 for Instant Transfer amounting PKR20,000.00. This has also been shared on your registered email address. For your financial security, please do not share your OTP with anyone else. bIrJN/NjTYq"
ham,"Aoa Kindly contact. I am Shehzad with Khurram khan reference. I had to send rent cheque of Khanpur property.  Regards, Shehzad Alam"
ham,Apka balance Rs10 se kam hai.Abhi *0# mila k payen 30 rupay ka loan. Service charges 6 rupay 50 paise hon gay
ham,Apka balance Rs10 se kam hai.Abhi *0# mila k payen 30 rupay ka loan. Service charges 6 rupay 50 paise hon gay Apne standard rate pe dosre network call ki hai.Abhi *5*350# mila kr paen puray din k liye Unlimited Telenor minutes aur 5 Dosre network minutes sirf Rs20 mein
ham,Apki Voice Infinity Offer ki subscription khatam ho gayi hai. Offer dobara hasil karne k lye *710# milaen
ham,Apko bilkul muft 1000 Telenor Mins aur 1000 MB 4G internet 4 din kay liye mil chuke hai.
ham,Apko kitna time lag jaye ga any may
ham,"Apko milae hain 1GB Data, 10 Other Network Min, 1000 Jazz Min aur SMS 3 din k lye Rs.78 k balance mein. For status *631*2# or visit bit.ly/jzwld"
ham,Apko milaien Rs.9.6 main 10MB WhatsApp aur 1800 SMS 24 ghantay k lye. Status *334*2#
ham,Apko milay hain 115 Jazz Mins aur 250 MBs WhatsApp bina kisi expiry aur azaafi charges k. Status maloom karne k lye *710*2# milaen
ham,"Apko milay hain 2 GBs (Whatsapp,IMO), 220 Jazz aur 25 Dosre Network Min aur 2000 SMS 30 din k lye. Status maloom karne k lye *614*2# ya *611*2# milaen"
ham,Apne Social Pack ka 50% volume use kar liya hai. My Telenor kai zariyai 4g Hourly Bundle subscribe karain aur hasil karain 500MB 1 ghantay k liye sirf Rs12 mein
ham,App ka balance Rs.15 se kam hai.*112# dial kar ke Jazz Advance lein. ABHI *122# milain aur har call k baad apna BALANCE janiyain automatically sirf Rs 1.2/D.
ham,"06-01-2025 Easypaisa Transfer 15,000.00 Raast Payment 8,000.00"
ham,Trx ID 33252525605. You have Received Rs 15000.00 from NUSRAT SHAFIQUE with Easypaisa Account 923401006838.
ham,"Dear Customer, Payment of Rs. 900 has been credited against your mobile number. Thank you for contacting Ufone."
ham,Your verification code for Carrefour is 7847
ham,<#> Your PIN is 3333 Only share your PIN if you trust this number. Request to add number to SIMOSA sent by ac95UegMlsc
ham,Cal me
ham,Call arhi thi apki
ham,CallCourier/PostEx sent parcel 11090770459039 for delivery. Please keep Rs.4224 ready. Do not receive if parcel label is not digital. Rider: 03092722221
ham,CallCourier/PostEx sent parcel 20059570008967 for delivery. Please keep Rs.7300 ready. Do not receive if parcel label is not digital. Rider: 03027033274
ham,Can I call you back later?
ham,Can't talk now. Please contact my WhatsApp at same number.
ham,CBCARE Code: 192336  Cantonment Board.
ham,CBCARE Code: 279342  Cantonment Board.
ham,"Check the number of SIMs registered against your CNIC via cnic.sims.pk or SMS CNIC number (without dashes) to 668. Report any mismatches of SIM count to PTA at 0800-55055, PTA CMS mobile app or via https://complaint.pta.gov.pk/RegisterComplaint.aspx"
ham,Cons 22271120 has arrived at . Secure Delivery Code is 9208. Bring CNIC/Auth for delivery. Pls Contact us 042-111007009
ham,Daily SMS and Whatsapp Bundle khatam ho gaya hai. Package dobara laganae k liay dial *334# or visit Jazz World https://bit.ly/jw2plte
ham,"Dear Alfa User, for registration, your OTP is 68608370. To protect your account against unauthorized use, never share this SMS or OTP with anyone."
ham,"Dear Alfa User, second part of your OTAC/Code is 05111. To protect your account against unauthorized use, never share this SMS/Code with anyone. NYbkMGRY0T/"
ham,"Dear Alfa User, second part of your OTAC/Code is 25101. To protect your account against unauthorized use, never share this SMS/Code with anyone. NYbkMGRY0T/"
ham,"Dear Alfa User, second part of your OTAC/Code is 95927. To protect your account against unauthorized use, never share this SMS/Code with anyone. NYbkMGRY0T/"
ham,"Dear ALFA User, your OTP is 26334623. To protect your account against unauthorized use, never share this SMS or Code with anyone. NYbkMGRY0T/"
ham,"Dear ALFA User, your OTP is 94079844. To protect your account against unauthorized use, never share this SMS or Code with anyone. NYbkMGRY0T/"
ham,"Dear BAHL Customer, Cash withdrawal transaction of 25000.00 has been reversed and credited to your account 0254-0078-******-50-8. Helpline 111-014-014"
ham,"Dear BAHL Customer, Cash withdrawal transaction of 30000.00 has been reversed and credited to your account 0254-0078-******-50-8. Helpline 111-014-014"
ham,"Dear BAHL Customer, your Complaint # C20164290 has been resolved. For further clarity please call 111-014-014. (05:26:49 PM)"
ham,"Dear BAHL Customer, your Complaint # C21170265 has been resolved. For further clarity please call 111-014-014. (02:41:11 PM)"
ham,"Dear BAHL Customer, your Complaint # C24169604-27888 has been processed for closure. For further details, please call 021-111-014-014. (11:27:40 AM)"
ham,"Dear Bahria town residents, Due to covid 19 this year there will be NO fire works in Bahria town.Ensure your own internal security safeguard SOPs issued.Keep alarm systems recharged and functional and park vehicles inside compound for any unwanted situation . Enjoy ur new year with your family and friends.Stay blessed"
ham,"Dear Bank AL Habib Customer,  Digital Account Opening, Biometric Verification, E-Statement, RAAST and Bill Payment service will remain unavailable on 8th Aug-2023 from 12:30 AM till 01:30 AM due to a scheduled maintenance activity.  We regret inconvenience. For support, please call (+92 21) 111-014-014."
ham,"Dear Bank AL Habib Customer, due to the scheduled maintenance activity, SMS & Email Alerts, Home Remittance and Selective Customer Web Portals will be unavailable on 20th Aug, 2023 between 12 AM - 01 AM. We request your patience and regret inconvenience. For support, please call (+92 21) 111-014-014."
ham,Dear Candidate Your Online Admission application is still incomplete. Visit UMT admission office by 15th Dec 22 and complete your admission process on spot.
ham,"Dear Candidate, You have applied in the Engineering program. Your interview for Scholarship is scheduled on 16th November 2022 at 2:00 PM. Bring the undermentioned documents: -All Academic Result Cards -Utility Bills -House Rental Agreement (If applicable) -Father's Salary Slip / Income Proof"
ham,"Dear Card Member, as per the directives of State Bank of Pakistan effective from November 08, 2022, Debit/Credit Card individual cross border industry wide transactions limit is now capped up to USD 30,000 annually and will be allowed for personal use only. For further details, please visit our website."
ham,"Dear Client! A/c # 05512-116288: 1,000 securities of BOP are moved from your account against market trade on 21/09/23"
ham,"Dear Client! A/c # 05512-116288: 10,000 securities of BOP are moved from your account against market trade on 25/09/23"
ham,"Dear Client! A/c # 05512-116288: 15,000 securities of BOP are moved from your account against market trade on 20/09/23"
ham,"Dear Client! A/c # 05512-116288: 2,500 securities of BAHL are moved from your account against market trade on 17/04/23"
ham,"Dear Client! A/c # 05512-116288: 23,000 securities of BOP are moved from your account against market trade on 24/07/23"
ham,"Dear Client! A/c # 05512-116288: 30,500 securities of BOP are moved from your account against market trade on 17/04/23"
ham,"Dear Client! A/c # 05512-116288: 5,000 securities of BAHL are moved from your account against market trade on 18/04/23"
ham,"Dear Client! A/c # 05512-116288: 5,000 securities of PSO are moved from your account against market trade on 27/04/23"
ham,Dear Client! A/c # 05512-116288: 750 securities of FABL are moved from your account against market trade on 17/04/23
ham,Dear Client! A/c. # 05512-116288: This is to inform you that your Bank/IBAN details have been updated on 18/03/24 as requested
ham,Dear Client! A/c. # 05512-116288: Your mailing address has been updated on 24/03/23
ham,Dear Client! Your account has been opened on 22/03/23 and your Account No. is 05512-116288
ham,"Dear Client,  Your OTP request for online account opening has been received and is in process. Contact: NCCPL-021 111 111 622"
ham,"Dear Client, UKN request from ALFALAH CLSA SECURITIES (PRIVATE) LTD has been received and is in process. Contact: NCCPL-021 111 111 622"
ham,"Dear Client, you can subscribe for Symmetry Global IPO from August 17 till August 18, 2023 through CDC eIPO portal (www.cdceipo.com).  To block all unsolicited promotional messages, text REG to 3627 or text UNSUB to 9232"
ham,"Dear Client, you can subscribe for Symmetry Global IPO from August 17 till August 18, 2023 through CDC eIPO portal www.cdceipo.com.  To block all unsolicited promotional messages, text REG to 3627 or text UNSUB to 9232"
ham,"Dear Client, your OTP request for online account opening with ALFALAH CLSA SECURITIES (PRIVATE) LTD is 203432. Your OTP will be expired in 168 hours. Contact:NCCPL 021 111 111 622"
ham,"Dear Client, your UKN request has been completed. Your UKN number is AAN6525IV. Contact: NCCPL-021 111 111 622"
ham,Dear customer this is smartlink technologies Xiaomi customer care your device is repaired now. You  collect it from our customer care. Timings 10am to 6pm monday to Saturday. Friday break 1am to 3pm
ham,Dear Customer Your Challan for Tax Payment against Vehicle Registration No ACV-855 with amount of 3310 has been successfully paid. For Paid Challan Receipt click below link   http://taxportal.excise.gos.pk/upload/receipts/2020/11/28/ACV-855_022953.pdf
ham,Dear Customer Your Challan for Tax Payment against Vehicle Registration No ACV-855 with amount of 910 has been successfully paid. For Paid Challan Receipt click below link   http://taxportal.excise.gos.pk/upload/receipts/2021/08/10/ACV-855_074024.pdf
ham,Dear customer Your complaint has been registered and assigned to concerned department. Your complaint number is '36'
ham,Dear Customer! Your OTP for current transaction is 386496. Expiry Time: 10mins. Thank You.
ham,Dear Customer! Your OTP for current transaction is 490933. Expiry Time: 10mins. Thank You.
ham,Dear Customer! Your OTP for current transaction is 526087. Expiry Time: 10mins. Thank You.
ham,Dear Customer! Your OTP for current transaction is 979676. Expiry Time: 10mins. Thank You.
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.    Best regards, Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.    Kind Regards, Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to 8874159 To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.    Regards. Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.   Best regards, Alfalah Securities To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.   Best regards, Alfalahclsa To block promotions from Alfalah Sec send UNSUB to 8874159 To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.   Best regards. Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.   Kind Regards, Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to 8874159 To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.   Regard, Alfalah Securities To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,   Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.  Regards, Alfalah CLSA To block promotions from Alfalah Sec send UNSUB to 8874159 To block all promotions, send REG to 3627"
ham,"Dear Customer,  Please be advised that depositing funds through any third-party banking instruments and depositing cash exceeding PKR 25,000 are strictly prohibited.  Regards Alfalahclsa To block promotions from Alfalah Sec send UNSUB to  To block all promotions, send REG to 3627"
ham,"Dear Customer,  You are requested to please update your contact information records maintained with the Bank whenever you change your mobile number, mobile network or email address to receive timely alerts relating to your account activity. To block promotions from BankALHabib send UNSUB to 2101000 To block all promotions, send REG to 3627"
ham,"Dear Customer, A request to credit the amount of PKR 175,000.00 has been received from A/C 025400780XXXXXXXX to 025400780XXXXXXXX through AL Habib netbanking on 29-06-2024 14:31:59."
ham,"Dear Customer, A request to credit the amount of PKR 20,000.00 has been received from A/C 025400780XXXXXXXX to 030084296XX through  on 31-01-2024 22:47:35."
ham,"Dear Customer, A request to credit the amount of PKR 245,000.00 has been received from A/C 025400780XXXXXXXX to 025400780XXXXXXXX through AL Habib netbanking on 27-09-2024 08:53:38."
ham,"Dear Customer, A request to credit the amount of PKR 25,000.00 has been received from A/C 025400780XXXXXXXX to 030084296XX through  on 02-06-2024 15:37:56."
ham,"Dear Customer, A request to credit the amount of PKR 25,000.00 has been received from A/C 025400780XXXXXXXX to 030084296XX through  on 02-08-2024 13:40:28."
ham,"Dear Customer, A request to credit the amount of PKR 3,000.00 has been received from A/C 025400780XXXXXXXX to 025400780XXXXXXXX through AL Habib netbanking on 31-08-2024 00:33:10."
ham,"Dear Customer, A request to credit the amount of PKR 500.00 has been received from A/C 025400780XXXXXXXX to 034480296XX through  on 14-08-2024 23:28:49."
ham,Trade Confirmation: a/c# <CLIENT> Bought BAHL 1000 @41 <br>Balance 0 Order# 19060043 <br>30-MAR-23
ham,Trade Confirmation: a/c# <CLIENT> Bought BAHL 1000 @41.85 <br>Balance 0 Order# 19042729 <br>28-MAR-23
ham,"Your a/c 0002****7758 has been debited with PKR 18,273 on 21-SEP-23 for FBR Tax Payment. Bal. PKR 21,584.00. For info, call 111825888."
ham,"Your a/c 0002****7758 has been debited with PKR 2,790 on 23-NOV-23 for LESCO Bill Payment. Bal. PKR 26,332.00. For info, call 111825888."
ham,Your access to the UBL Digital App has been temporarily blocked due to 3 incorrect login attempts. For info 111825888
ham,"Your BAF Credit Card has been dispatched to your registered address with TCS tracking ID : 810228345785, In case of non-receipt please call TCS Help Line 021-111123456"
ham,You have subscribed to WhatsApp Bundle and received 4000MBs
ham,You have purchased Jazz Load of Rs. 100.00 on 2023-02-16 15:10:46. Your new balance is Rs. 87.01
ham,You have purchased Jazz Load of Rs. 100.00 on 2023-07-29 18:51:01. Your new balance is Rs. 304.39
ham,"Dear Customer, aap ne is number par *0# service ke zariye emergency loan liya tha. Abhi recharge karke apne outstanding dues clear karein. Shukriya."
ham,"Dear Customer, AL Habib Netbanking and AL Habib Mobile App services will be unavailable on Feb 26, 2023 from 01:00 AM to 03:00 AM. We regret any inconvenience caused. For assistance, please contact our 24/7 Call Centre: (+9221)111-014-014."
ham,"Dear Customer, an unexpected chip-related error has been identified on your newly delivered credit card due to which you might face issues in successfully performing transactions. A replacement card is being dispatched immediately in order to ensure streamlined services and should be delivered within 3-4 days. Apologies for the inconvenience, kindly activate the new card from our Alfa app as soon as it is received. For any assistance, you may also call our helpline at 021-111-225-111."
ham,"Dear Customer, any transaction conducted through Bank Alfalah Credit or Debit Cards in Pakistani Rupees at online / international merchants, which are settled in a foreign currency will be subject to market currency conversion rates as well as foreign transaction charges as per the prevailing Schedule of Bank Charges."
ham,"Dear Customer, As per directives by the State Bank of Pakistan, only Authorized Dealers (Ads) of foreign currency are allowed to engage in business transactions with you. We urge you not to engage in any such Foreign Exchange trading, Contract for Difference trading or Margin trading transactions which are being facilitated  by any platform through Website or Mobile App.  To block promotions from BAHL8810 send UNSUB to 8006579 To block all promotions, send REG to 3627"
ham,"Dear Customer, As per SBP directives, effective 8th November 2022 an industry-wide annual limit of USD 30,000 (or equivalent) per individual is applicable on card based cross-border transactions. You are advised to monitor your international spending to keep it within this annual limit. Furthermore, please note that card based transactions may be conducted for personal use only. For details, please call 021-111-225-111."
ham,"Dear Customer, Bank AL Habib is pleased to offer its services for depositing your prize bonds of Rs.40,000/-, Rs.25,000/-, Rs.15,000/- and Rs.7,500/- in your account. For more information call (021)111-014-014 or visit your nearest branch. To block promotions from BankALHabib send UNSUB to 8590098 To block all promotions, send REG to 3627"
ham,"Dear Customer, Bank AL Habib will NEVER contact you via Phone, SMS, E-mail or any other means asking for your Personal Information, internet/mobile banking User ID, Password, Debit/Credit card number, PIN, OTP or CVV."
ham,"Dear Customer, Bank AL Habib will NEVER contact you via Phone, SMS, E-mail or any other means asking for your Personal Information, internet/mobile banking User ID, Password, Debit/Credit card number, PIN, OTP or CVV. To block promotions from BAHL8810 send UNSUB to 8006579 To block all promotions, send REG to 3627"
